x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
38904 	 39503	 8776	 9375	 Image_AD10382_2mm - Z 20x	 11_img_1_1.tif  
39503 	 40102	 8776	 9375	 Image_AD10382_2mm - Z 20x	 11_img_1_2.tif  
40102 	 40701	 8776	 9375	 Image_AD10382_2mm - Z 20x	 11_img_1_3.tif  
40701 	 41300	 8776	 9375	 Image_AD10382_2mm - Z 20x	 11_img_1_4.tif  
41300 	 41899	 8776	 9375	 Image_AD10382_2mm - Z 20x	 11_img_1_5.tif  
38904 	 39503	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_1.tif  
39503 	 40102	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_2.tif  
40102 	 40701	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_3.tif  
40701 	 41300	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_4.tif  
41300 	 41899	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_5.tif  
41899 	 42498	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_6.tif  
42498 	 43097	 9375	 9974	 Image_AD10382_2mm - Z 20x	 11_img_2_7.tif  
38904 	 39503	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_1.tif  
39503 	 40102	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_2.tif  
40102 	 40701	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_3.tif  
40701 	 41300	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_4.tif  
41300 	 41899	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_5.tif  
41899 	 42498	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_6.tif  
42498 	 43097	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_7.tif  
43097 	 43696	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_8.tif  
43696 	 44295	 9974	 10573	 Image_AD10382_2mm - Z 20x	 11_img_3_9.tif  
38904 	 39503	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_1.tif  
39503 	 40102	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_2.tif  
40102 	 40701	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_3.tif  
40701 	 41300	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_4.tif  
41300 	 41899	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_5.tif  
41899 	 42498	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_6.tif  
42498 	 43097	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_7.tif  
43097 	 43696	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_8.tif  
43696 	 44295	 10573	 11172	 Image_AD10382_2mm - Z 20x	 11_img_4_9.tif  
38904 	 39503	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_1.tif  
39503 	 40102	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_2.tif  
40102 	 40701	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_3.tif  
40701 	 41300	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_4.tif  
41300 	 41899	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_5.tif  
41899 	 42498	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_6.tif  
42498 	 43097	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_7.tif  
43097 	 43696	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_8.tif  
43696 	 44295	 11172	 11771	 Image_AD10382_2mm - Z 20x	 11_img_5_9.tif  
38904 	 39503	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_1.tif  
39503 	 40102	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_2.tif  
40102 	 40701	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_3.tif  
40701 	 41300	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_4.tif  
41300 	 41899	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_5.tif  
41899 	 42498	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_6.tif  
42498 	 43097	 11771	 12370	 Image_AD10382_2mm - Z 20x	 11_img_6_7.tif  
39503 	 40102	 12370	 12969	 Image_AD10382_2mm - Z 20x	 11_img_7_2.tif  
40102 	 40701	 12370	 12969	 Image_AD10382_2mm - Z 20x	 11_img_7_3.tif  
40701 	 41300	 12370	 12969	 Image_AD10382_2mm - Z 20x	 11_img_7_4.tif  
41300 	 41899	 12370	 12969	 Image_AD10382_2mm - Z 20x	 11_img_7_5.tif  
41899 	 42498	 12370	 12969	 Image_AD10382_2mm - Z 20x	 11_img_7_6.tif  
