x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
73324 	 73923	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_2.tif  
73923 	 74522	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_3.tif  
74522 	 75121	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_4.tif  
75121 	 75720	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_5.tif  
75720 	 76319	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_6.tif  
76319 	 76918	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_7.tif  
76918 	 77517	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_8.tif  
77517 	 78116	 12837	 13436	 Image_CTE6912_2_mm - Z 20x	 17_img_1_9.tif  
72725 	 73324	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_1.tif  
73324 	 73923	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_2.tif  
73923 	 74522	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_3.tif  
74522 	 75121	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_4.tif  
75121 	 75720	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_5.tif  
75720 	 76319	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_6.tif  
76319 	 76918	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_7.tif  
76918 	 77517	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_8.tif  
77517 	 78116	 13436	 14035	 Image_CTE6912_2_mm - Z 20x	 17_img_2_9.tif  
72725 	 73324	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_1.tif  
73324 	 73923	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_2.tif  
73923 	 74522	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_3.tif  
74522 	 75121	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_4.tif  
75121 	 75720	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_5.tif  
75720 	 76319	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_6.tif  
76319 	 76918	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_7.tif  
76918 	 77517	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_8.tif  
77517 	 78116	 14035	 14634	 Image_CTE6912_2_mm - Z 20x	 17_img_3_9.tif  
72725 	 73324	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_1.tif  
73324 	 73923	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_2.tif  
73923 	 74522	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_3.tif  
74522 	 75121	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_4.tif  
75121 	 75720	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_5.tif  
75720 	 76319	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_6.tif  
76319 	 76918	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_7.tif  
76918 	 77517	 14634	 15233	 Image_CTE6912_2_mm - Z 20x	 17_img_4_8.tif  
73324 	 73923	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_2.tif  
73923 	 74522	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_3.tif  
74522 	 75121	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_4.tif  
75121 	 75720	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_5.tif  
75720 	 76319	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_6.tif  
76319 	 76918	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_7.tif  
76918 	 77517	 15233	 15832	 Image_CTE6912_2_mm - Z 20x	 17_img_5_8.tif  
74522 	 75121	 15832	 16431	 Image_CTE6912_2_mm - Z 20x	 17_img_6_4.tif  
