x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
70183 	 70782	 7429	 8028	 Image_AD21424_3mm - Z 20x	 09_img_1_5.tif  
70782 	 71381	 7429	 8028	 Image_AD21424_3mm - Z 20x	 09_img_1_6.tif  
71381 	 71980	 7429	 8028	 Image_AD21424_3mm - Z 20x	 09_img_1_7.tif  
71980 	 72579	 7429	 8028	 Image_AD21424_3mm - Z 20x	 09_img_1_8.tif  
72579 	 73178	 7429	 8028	 Image_AD21424_3mm - Z 20x	 09_img_1_9.tif  
68985 	 69584	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_3.tif  
69584 	 70183	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_4.tif  
70183 	 70782	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_5.tif  
70782 	 71381	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_6.tif  
71381 	 71980	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_7.tif  
71980 	 72579	 8028	 8627	 Image_AD21424_3mm - Z 20x	 09_img_2_8.tif  
67787 	 68386	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_1.tif  
68386 	 68985	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_2.tif  
68985 	 69584	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_3.tif  
69584 	 70183	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_4.tif  
70183 	 70782	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_5.tif  
70782 	 71381	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_6.tif  
71381 	 71980	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_7.tif  
71980 	 72579	 8627	 9226	 Image_AD21424_3mm - Z 20x	 09_img_3_8.tif  
67787 	 68386	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_1.tif  
68386 	 68985	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_2.tif  
68985 	 69584	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_3.tif  
69584 	 70183	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_4.tif  
70183 	 70782	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_5.tif  
70782 	 71381	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_6.tif  
71381 	 71980	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_7.tif  
71980 	 72579	 9226	 9825	 Image_AD21424_3mm - Z 20x	 09_img_4_8.tif  
67787 	 68386	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_1.tif  
68386 	 68985	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_2.tif  
68985 	 69584	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_3.tif  
69584 	 70183	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_4.tif  
70183 	 70782	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_5.tif  
70782 	 71381	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_6.tif  
71381 	 71980	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_7.tif  
71980 	 72579	 9825	 10424	 Image_AD21424_3mm - Z 20x	 09_img_5_8.tif  
68386 	 68985	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_2.tif  
68985 	 69584	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_3.tif  
69584 	 70183	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_4.tif  
70183 	 70782	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_5.tif  
70782 	 71381	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_6.tif  
71381 	 71980	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_7.tif  
71980 	 72579	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_8.tif  
72579 	 73178	 10424	 11023	 Image_AD21424_3mm - Z 20x	 09_img_6_9.tif  
68985 	 69584	 11023	 11622	 Image_AD21424_3mm - Z 20x	 09_img_7_3.tif  
69584 	 70183	 11023	 11622	 Image_AD21424_3mm - Z 20x	 09_img_7_4.tif  
70183 	 70782	 11023	 11622	 Image_AD21424_3mm - Z 20x	 09_img_7_5.tif  
70782 	 71381	 11023	 11622	 Image_AD21424_3mm - Z 20x	 09_img_7_6.tif  
71381 	 71980	 11023	 11622	 Image_AD21424_3mm - Z 20x	 09_img_7_7.tif  
69584 	 70183	 11622	 12221	 Image_AD21424_3mm - Z 20x	 09_img_8_4.tif  
70183 	 70782	 11622	 12221	 Image_AD21424_3mm - Z 20x	 09_img_8_5.tif  
