x_start 	 x_end	 y_start	 y_end	 Original_image	 ROI_image  
73706 	 74305	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_4.tif  
74305 	 74904	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_5.tif  
74904 	 75503	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_6.tif  
75503 	 76102	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_7.tif  
76102 	 76701	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_8.tif  
76701 	 77300	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_9.tif  
77300 	 77899	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_10.tif  
77899 	 78498	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_11.tif  
78498 	 79097	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_12.tif  
79097 	 79696	 6251	 6850	 Image_CTE7019_2mm - Z 20x	 07_img_1_13.tif  
72508 	 73107	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_2.tif  
73107 	 73706	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_3.tif  
73706 	 74305	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_4.tif  
74305 	 74904	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_5.tif  
74904 	 75503	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_6.tif  
75503 	 76102	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_7.tif  
76102 	 76701	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_8.tif  
76701 	 77300	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_9.tif  
77300 	 77899	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_10.tif  
77899 	 78498	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_11.tif  
78498 	 79097	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_12.tif  
79097 	 79696	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_13.tif  
79696 	 80295	 6850	 7449	 Image_CTE7019_2mm - Z 20x	 07_img_2_14.tif  
71909 	 72508	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_1.tif  
72508 	 73107	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_2.tif  
73107 	 73706	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_3.tif  
73706 	 74305	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_4.tif  
74305 	 74904	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_5.tif  
74904 	 75503	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_6.tif  
75503 	 76102	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_7.tif  
76102 	 76701	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_8.tif  
76701 	 77300	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_9.tif  
77300 	 77899	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_10.tif  
77899 	 78498	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_11.tif  
78498 	 79097	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_12.tif  
79097 	 79696	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_13.tif  
79696 	 80295	 7449	 8048	 Image_CTE7019_2mm - Z 20x	 07_img_3_14.tif  
